# x	y	u	v	flags	mask
5.0845e+04	7.3521e+04	-1.2196e+01	-2.4694e+00	0.0000e+00	0.0000e+00
5.1831e+04	7.3521e+04	2.5290e+02	-2.9212e+02	0.0000e+00	0.0000e+00
5.2817e+04	7.3521e+04	4.5698e+02	-9.2438e+01	0.0000e+00	0.0000e+00
5.3803e+04	7.3521e+04	2.2647e+02	2.0520e+02	0.0000e+00	0.0000e+00
5.4789e+04	7.3521e+04	2.2676e+02	1.6625e+01	1.0000e+00	0.0000e+00
5.5775e+04	7.3521e+04	2.1068e+02	-2.6794e+00	1.0000e+00	0.0000e+00
5.6761e+04	7.3521e+04	-6.7300e+00	6.1828e+01	0.0000e+00	0.0000e+00
5.7746e+04	7.3521e+04	-8.7543e+01	6.4307e+01	0.0000e+00	0.0000e+00
5.8732e+04	7.3521e+04	1.4299e+02	-1.8159e+02	0.0000e+00	0.0000e+00
5.9718e+04	7.3521e+04	4.7757e+01	-1.6140e+02	0.0000e+00	0.0000e+00
6.0704e+04	7.3521e+04	-5.9053e+01	-4.3762e+01	0.0000e+00	0.0000e+00
6.1690e+04	7.3521e+04	-1.8099e+02	-1.7883e+01	1.0000e+00	0.0000e+00
6.2676e+04	7.3521e+04	-1.9308e+02	-2.0444e+01	1.0000e+00	0.0000e+00
6.3662e+04	7.3521e+04	-6.8308e+02	-4.2197e+02	0.0000e+00	0.0000e+00
6.4648e+04	7.3521e+04	-1.5626e+01	-4.0261e+02	0.0000e+00	0.0000e+00
6.5634e+04	7.3521e+04	-1.5940e+02	-1.6517e+01	0.0000e+00	0.0000e+00
6.6620e+04	7.3521e+04	-3.3746e+02	5.9041e+01	0.0000e+00	0.0000e+00
6.7606e+04	7.3521e+04	8.4152e+01	-3.5108e+01	0.0000e+00	0.0000e+00
6.8592e+04	7.3521e+04	2.2869e+02	-8.3119e+00	0.0000e+00	0.0000e+00
6.9577e+04	7.3521e+04	1.6321e+02	-4.4351e+00	0.0000e+00	0.0000e+00
